"id","state","county","year","type","disaster","disaster_start_date","payment_type"
"01001","Alabama","Autauga",2026,"Annual Crabgrass","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2026,"Annual Ryegrass","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2025,"Annual Ryegrass","Drought","2025-01-25","1 Month"
"01001","Alabama","Autauga",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01001","Alabama","Autauga",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01001","Alabama","Autauga",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01001","Alabama","Autauga",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01001","Alabama","Autauga",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01001","Alabama","Autauga",2026,"Full Season Improved Mixed Pasture","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2025,"Full Season Improved Mixed Pasture","Drought","2025-01-25","1 Month"
"01001","Alabama","Autauga",2026,"Full Season Improved Pasture","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01001","Alabama","Autauga",2016,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01001","Alabama","Autauga",2011,"Improved Pasture","Drought",NA,"Eligible"
"01001","Alabama","Autauga",2010,"Improved Pasture","Drought",NA,"Eligible"
"01001","Alabama","Autauga",2008,"Improved Pasture","Drought",NA,"Eligible"
"01001","Alabama","Autauga",2026,"Long Season Small Grains","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2025,"Long Season Small Grains","Drought","2025-01-25","1 Month"
"01001","Alabama","Autauga",2017,"Long Season Small Grains","Drought",NA,"4 Month"
"01001","Alabama","Autauga",2013,"Long Season Small Grains","Drought",NA,"1 Month"
"01001","Alabama","Autauga",2012,"Long Season Small Grains","Drought",NA,"3 Month"
"01001","Alabama","Autauga",2026,"Native Pasture","Drought","2026-04-21","3 Month"
"01001","Alabama","Autauga",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01001","Alabama","Autauga",2008,"Small Grains","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2026,"Annual Crabgrass","Drought","2026-04-21","4 Month"
"01003","Alabama","Baldwin",2026,"Annual Ryegrass","Drought","2026-04-21","3 Month"
"01003","Alabama","Baldwin",2017,"Annual Ryegrass","Drought",NA,"3 Month"
"01003","Alabama","Baldwin",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01003","Alabama","Baldwin",2023,"Forage Sorghum","Drought","2023-09-12","4 Month"
"01003","Alabama","Baldwin",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2010,"Forage Sorghum","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2026,"Full Season Improved Mixed Pasture","Drought","2026-04-21","4 Month"
"01003","Alabama","Baldwin",2023,"Full Season Improved Mixed Pasture","Drought","2023-09-12","4 Month"
"01003","Alabama","Baldwin",2020,"Full Season Improved Mixed Pasture","Drought","2020-06-08","1 Month"
"01003","Alabama","Baldwin",2026,"Full Season Improved Pasture","Drought","2026-04-21","4 Month"
"01003","Alabama","Baldwin",2023,"Full Season Improved Pasture","Drought","2023-09-12","4 Month"
"01003","Alabama","Baldwin",2020,"Full Season Improved Pasture","Drought","2020-06-08","1 Month"
"01003","Alabama","Baldwin",2017,"Full Season Improved Pasture","Drought",NA,"3 Month"
