"FIPS","FSA County","Program Year","Pasture Type","Qualifying Drought Event","Qualifying Date","Drought Factor","Maximum Eligible Payment Months","Payment Factor"
"01001","01001",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01001","01001",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01001","01001",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01005","01005",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01007","01007",2025,"Forage Sorghum","D3a","2025-10-07",3,5,3
"01007","01007",2025,"Full Season Improved Mixed Pasture","D3a","2025-10-07",3,5,3
"01007","01007",2025,"Full Season Improved Pasture","D3a","2025-10-07",3,5,4
"01007","01007",2025,"Full Season Improved Pasture","D3b","2025-11-03",4,5,4
"01013","01013",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01017","01017",2025,"Full Season Improved Pasture","D2","2025-11-17",1,5,1
"01021","01021",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01021","01021",2025,"Forage Sorghum","D3a","2025-10-21",3,5,3
"01021","01021",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01021","01021",2025,"Full Season Improved Pasture","D3a","2025-10-21",3,5,3
"01021","01021",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01023","01023",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01023","01023",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01023","01023",2025,"Forage Sorghum","D3a","2025-10-14",3,5,3
"01023","01023",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01023","01023",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01023","01023",2025,"Full Season Improved Pasture","D3a","2025-10-14",3,5,4
"01023","01023",2025,"Full Season Improved Pasture","D3b","2025-11-10",4,5,4
"01023","01023",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01023","01023",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01025","01025",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01025","01025",2025,"Forage Sorghum","D3a","2025-10-21",3,5,3
"01025","01025",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01025","01025",2025,"Full Season Improved Pasture","D3a","2025-10-21",3,5,4
"01025","01025",2025,"Full Season Improved Pasture","D3b","2025-11-17",4,5,4
"01025","01025",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01031","01031",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01035","01035",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01039","01039",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01041","01041",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01045","01045",2025,"Full Season Improved Pasture","D3a","2025-11-18",3,5,3
"01047","01047",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01047","01047",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01047","01047",2025,"Forage Sorghum","D3a","2025-10-07",3,5,3
"01047","01047",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01047","01047",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01047","01047",2025,"Full Season Improved Pasture","D3a","2025-10-07",3,5,4
"01047","01047",2025,"Full Season Improved Pasture","D3b","2025-11-03",4,5,4
"01047","01047",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01047","01047",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01053","01053",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01059","01059",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
