"FIPS State Code","FIPS County Code","FIPS State Name","FIPS County Name","file","file_datestamp","FSA State Code","FSA County Code","FSA County Name","Program Year","Pasture Type","Disaster Type","D2 START DATE","D2 END","D2A START DATE","D2A END","D2B START DATE","D2B END","D3A START DATE","D3A END","D3B START DATE","D3B END","D4A START DATE","D4A END","D4B START DATE","D4B END","Date of Qualifying Drought","Drought Factor","Grazing Period Start Date","Grazing Period End Date","Maximum Eligible Payment Months","Payment Factor"
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Annual Crabgrass","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2026-03-01","2026-11-30",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Annual Ryegrass","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2025-12-01","2026-04-30",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Forage Sorghum","Drought",NA,NA,NA,NA,NA,NA,"2026-05-01",NA,NA,NA,NA,NA,NA,NA,"2026-05-01",3,"2026-05-01","2026-10-31",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Full Season Improved Mixed Pasture","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2025-12-01","2026-10-15",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Full Season Improved Pasture","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2026-04-01","2026-11-30",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Long Season Small Grains","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2025-12-01","2026-04-30",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Native Pasture","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2026-03-01","2026-11-30",5,3
"01","001","Alabama","Autauga","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","001","AUTAUGA",2026,"Short Season Small Grains","Drought",NA,NA,NA,NA,NA,NA,"2026-05-01",NA,NA,NA,NA,NA,NA,NA,"2026-05-01",3,"2026-05-01","2026-07-15",2,2
"01","003","Alabama","Baldwin","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","003","BALDWIN",2026,"Annual Crabgrass","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,"2026-04-21","2026-05-18",NA,NA,NA,NA,"2026-04-21",4,"2026-03-01","2026-11-30",5,4
"01","003","Alabama","Baldwin","2026/Counties & Pasture Types Eligible for 2026 LFP 08-28-2026.xlsx","2026-08-28","01","003","BALDWIN",2026,"Annual Ryegrass","Drought",NA,NA,NA,NA,NA,NA,"2026-04-21",NA,NA,NA,NA,NA,NA,NA,"2026-04-21",3,"2025-12-01","2026-04-30",5,3
